String,Young's
diameter,modulus
(mm),est. (GPa)
,
0.39,6.69
0.41,6.67
0.43,6.64
0.45,6.62
0.47,6.59
0.5,6.56
0.52,6.53
0.54,6.5
0.56,6.47
0.58,6.44
0.6,6.41
0.62,6.38
0.64,6.42
0.66,6.39
0.68,6.36
0.7,6.33
0.73,6.29
0.74,6.27
0.76,6.24
0.78,6.21
0.79,6.26
0.8,6.24
0.85,6.17
0.88,6.12
0.9,6.09
0.92,6.06
0.95,6.01
0.98,5.96
1,5.93
1.03,5.88
1.05,5.84
1.08,5.99
1.1,5.96
1.13,5.92
1.15,5.89
1.18,5.84
1.2,5.81
1.23,5.83
1.25,5.8
1.28,5.75
1.3,5.72
1.33,5.68
1.35,5.65
1.43,5.52
1.44,5.51
1.45,5.49
1.52,5.38
1.53,5.37
1.55,5.34
1.58,5.84
1.6,5.81
1.65,5.76
1.68,5.72
1.7,5.7
1.75,5.64
1.78,5.6
1.8,5.58
1.83,5.74
1.85,5.72
1.9,5.66
1.96,5.6
2,5.56
2.05,5.5
2.08,5.47
2.1,5.45
2.18,5.41
2.2,5.39
2.29,5.29
2.35,5.23
2.5,5.07
